id,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen
AS14.01,2014-04-16,0.075,4.011,18.1865,14.892,6.6080000000000005,25.229,,1.0,0.5,7.0,19.907999992370602
AS14.01,2014-04-17,0.03753732898117925,3.216,31.936,31.467,8.295,31.442999999999998,,-1.0,1.0,7.0,26.5459998846054
AS14.01,2014-04-18,0.004201680672268905,3.241,29.2635,31.734,7.02,33.119,16.051,-1.0,1.0,7.0,23.031000018119798
AS14.01,2014-04-19,0.06302521008403365,3.051,29.358,46.5175,6.0329999999999995,28.081,64.445,0.0,1.0,8.0,34.85949993133545
AS14.01,2014-04-20,0.0181818181818182,3.102,37.141,46.625,7.023,29.816499999999998,,-0.5,1.0,7.0,41.327999830246
AS14.01,2014-04-21,0.0,5.062,22.497500000000002,16.264,8.027000000000001,24.072,10.056000000000001,0.0,1.0,8.0,19.0520000457764
AS14.01,2014-04-22,0.054166666666666696,3.2760000000000002,26.454,17.146,11.21,42.147,,0.0,1.0,7.0,30.568000078201297
AS14.01,2014-04-23,0.0170289855072464,3.1624999999999996,26.098000000000003,24.445,7.593,40.0325,,0.0,1.0,8.0,29.62700009346005
AS14.01,2014-04-24,0.0256410256410256,3.014,31.2335,28.146,8.335,38.26,14.061,0.0,1.0,8.0,52.6519999504089
AS14.01,2014-04-25,0.0708333333333333,3.0095,25.095,30.641,9.6715,48.703,22.066999999999997,0.0,1.0,7.0,24.3399999141693
AS14.01,2014-04-26,0.0113636363636364,5.059,24.111,125.556,8.026,24.291999999999998,15.608,0.0,1.0,8.0,25.746000051498402
AS14.01,2014-04-27,0.0,5.0335,16.293,29.326,9.5485,13.735000000000001,,0.0,1.0,7.5,17.3069999217987
AS14.01,2014-04-28,0.0,4.0280000000000005,33.085,16.363500000000002,9.038,39.0025,,-1.0,1.0,8.0,18.260999917983998
AS14.01,2014-04-29,0.04223045150263495,3.112,21.13,41.285000000000004,7.03,101.34,20.991,-0.5,1.0,7.0,21.8504999876022
AS14.01,2014-04-30,0.0761999715140293,3.3085000000000004,22.353,13.046,14.1675,6.934,6.624499999999999,-1.0,1.0,8.0,26.4749999046326
AS14.01,2014-05-01,0.033755875231448546,3.0735,20.105999999999998,57.2295,7.1545,34.2345,,0.0,1.0,8.0,21.0769999027252
AS14.01,2014-05-02,0.03810242045536165,3.0244999999999997,24.483,34.3745,6.254,28.926,,0.0,1.0,8.0,32.4489998817444
AS14.01,2014-05-03,0.029482979632531,5.0205,24.866,14.470500000000001,8.023,14.062000000000001,143.631,0.0,1.0,8.0,32.6460001468658
AS14.01,2014-05-04,0.0,4.018,21.2275,23.2175,7.019,38.183,,-0.5,1.0,8.0,19.94049990177155
AS14.01,2014-05-05,0.0,10.032,21.652,318.514,,25.104,,,,,19.0319998264313
AS14.02,2014-02-17,,,,,,,,,,,
AS14.02,2014-02-18,,,,,,,,,,,
AS14.02,2014-02-19,,,,,,,,,,,
