id,days,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.other,appCat.social,appCat.travel,circumplex.arousal,circumplex.valence,mood,screen,total_calls,total_sms,final_mood
AS14.01,day 60 to 65,0.0217391304347826,4.011,23.7025,14.043,7.028,42.147,,0.0,1.0,7.0,30.483000040054304,2.0,,8.0
AS14.01,day 61 to 66,0.02542741234424805,3.015,31.163,30.7025,8.541,45.343999999999994,,0.0,1.0,8.0,35.2569999694824,1.0,,8.0
AS14.01,day 62 to 67,0.029769665362885698,3.014,27.159000000000002,25.217999999999996,8.4305,35.141999999999996,18.064,0.0,1.0,8.0,44.86299991607671,1.0,,7.0
AS14.01,day 63 to 68,0.0584733893557423,3.1010000000000004,24.221999999999998,42.7735,9.1005,24.291999999999998,15.880999999999998,0.0,1.0,7.0,25.399999856948853,2.0,1.0,7.5
AS14.01,day 64 to 69,0.0113636363636364,5.077999999999999,27.082,33.119,8.02,1172.0425,15.009,-0.5,1.0,7.5,25.810000181198102,3.0,4.0,8.0
AS14.01,day 65 to 70,0.0,5.0425,32.395,28.913,10.07,24.464000000000002,,0.0,1.0,8.0,17.3069999217987,,,7.0
AS14.01,day 66 to 71,0.00423728813559322,3.092,31.514,36.786,9.029,47.854,20.991,-0.5,1.0,7.0,24.131500005722053,2.0,,8.0
AS14.01,day 67 to 72,0.0084033613445378,3.549,15.239,29.517,9.185,6.934,,0.0,1.0,8.0,17.63699996471405,,,8.0
AS14.01,day 68 to 73,0.04180672268907565,3.015,23.676000000000002,17.278,9.262,108.985,6.624499999999999,-1.0,1.0,8.0,27.9629998207092,1.0,,8.0
AS14.01,day 69 to 74,0.046008403361344555,3.696,19.472,38.2735,7.119,20.9745,,0.0,1.0,8.0,20.2739999294281,7.0,4.0,8.0
AS14.01,day 70 to 75,0.01687793761572425,3.0125,27.734,97.459,6.254,25.579,,-0.5,1.0,8.0,46.890499949455254,,1.0,8.0
AS14.01,day 71 to 76,0.05483549351944165,5.0205,21.211,11.876,7.5985,14.062000000000001,143.631,-0.5,1.0,8.0,19.57799994945525,,,8.0
AS14.02,day 23 to 28,,4.802,10.233,88.39200000000001,25.445,10.187000000000001,,0.0,0.0,6.0,10.4909999370575,3.0,1.0,7.0
AS14.02,day 24 to 29,0.087719298245614,3.7969999999999997,19.42,162.287,10.7195,7.167,,0.5,1.0,7.0,14.7649999856949,4.0,,8.0
AS14.02,day 25 to 30,0.148063063063063,3.049,10.377,13.085,19.57,4.053999999999999,,1.0,1.0,8.0,10.558000087738,15.0,1.0,7.0
AS14.02,day 26 to 31,0.403999223451757,5.614,14.8115,8.248999999999999,17.725,11.529000000000002,10.2455,1.0,1.0,7.0,13.06900000572205,5.0,1.0,7.0
AS14.02,day 27 to 32,0.149821456295606,6.0489999999999995,18.9335,4.2105,9.2695,6.523,,-0.5,1.0,7.0,10.8039999008179,10.0,1.0,8.0
AS14.02,day 28 to 33,0.4559103496019385,4.01,13.056000000000001,14.815999999999999,9.906500000000001,8.344999999999999,16.051,-1.0,1.0,8.0,13.066000223159802,13.0,2.0,6.0
AS14.02,day 29 to 34,0.228643669857323,3.1069999999999998,18.287,30.4465,13.0305,5.9665,12.719000000000001,-1.0,-1.0,6.0,12.3510000705719,22.0,,6.0
AS14.02,day 30 to 35,0.194396402628848,4.031000000000001,13.901,10.206,9.905999999999999,12.383,12.239,-1.0,0.0,6.0,12.6989998817444,8.0,1.0,6.0
AS14.02,day 31 to 36,0.0923156801661472,4.7305,10.619000000000002,11.629000000000001,11.026,11.413,,1.0,-1.0,6.0,10.5039999485016,5.0,,8.0
AS14.02,day 32 to 37,0.20019762845849798,4.6575,11.805,27.778000000000002,7.105,7.984,,-1.0,1.0,8.0,10.359000205993699,7.0,,7.0
AS14.02,day 33 to 38,0.299171167815236,4.819,11.2015,10.245,8.222000000000001,13.235,,-1.0,1.0,7.0,12.5090000629425,5.0,,7.5
AS14.02,day 34 to 39,0.14335887611749648,4.058,12.461500000000001,3.9234999999999998,19.634999999999998,9.502,,0.5,0.5,7.5,10.6065001487732,4.0,,7.0
AS14.02,day 35 to 40,0.3285714285714285,5.075,10.383,7.835,10.656,11.5515,,-1.0,1.0,7.0,10.382999897003199,7.0,2.0,7.0
AS14.02,day 36 to 41,0.23636363636363603,4.019,13.614,132.928,8.2225,38.778,7.5360000000000005,-1.0,0.5,7.0,10.50300014019015,5.0,,7.5
AS14.02,day 37 to 42,0.145171957671958,4.8185,12.889,10.274000000000001,9.203,9.332,,-1.5,1.0,7.5,10.755499958992,9.0,1.0,8.0
AS14.02,day 38 to 43,0.1328976034858385,5.298500000000001,12.639000000000001,5.923500000000001,10.123,10.1165,,-1.0,1.0,8.0,10.5865000486374,14.0,2.0,7.0
AS14.02,day 39 to 44,0.299859492520043,10.314,10.455,9.305499999999999,18.334,9.987,8.86,-1.0,1.0,7.0,11.216999769210801,3.0,1.0,6.0
AS14.02,day 40 to 45,0.2095959595959595,7.204,12.68,9.488,16.123,7.543,,-1.0,-1.0,6.0,11.4189999103546,2.0,,6.0
AS14.02,day 41 to 46,0.2776031759159705,3.187,13.762,6.2139999999999995,10.173,9.256499999999999,19.2885,-0.5,0.0,6.0,14.1610000133514,1.0,,7.0
AS14.02,day 42 to 47,0.1692961165048545,4.7755,12.276499999999999,9.8735,13.6755,6.526,,-1.0,1.0,7.0,12.520999908447301,5.0,,8.0
AS14.02,day 43 to 48,0.36822429906542054,4.0715,12.005999999999998,10.392999999999999,9.679499999999999,13.59,11.942,1.0,1.0,8.0,11.3849999904633,9.0,1.0,5.0
AS14.02,day 44 to 49,0.1566682793097885,5.227,13.245999999999999,8.436,7.917,12.06,,-1.0,-1.0,5.0,10.46449995040895,6.0,,7.0
AS14.02,day 45 to 50,0.116425120772947,10.066,15.375,37.554,15.859499999999999,11.184999999999999,,0.0,1.0,7.0,14.010999917984,2.0,,6.0
AS14.02,day 46 to 51,0.2330508474576275,3.9485,12.326,13.655000000000001,12.8125,12.123000000000001,,-0.5,0.5,6.0,11.51199996471405,11.0,1.0,7.0
AS14.02,day 47 to 52,0.158837151600364,4.133000000000001,10.363,16.160999999999998,9.321,8.347000000000001,,-0.5,0.0,7.0,10.4024999141693,11.0,1.0,7.5
AS14.02,day 48 to 53,0.21824071262273498,4.065,10.367,8.368,31.363000000000003,7.6594999999999995,17.022000000000002,0.0,1.0,7.5,10.3144998550415,2.0,1.0,6.5
AS14.02,day 49 to 54,0.4982683982683984,4.802,11.162,9.802999999999999,24.607,9.631,13.146,-0.5,0.5,6.5,11.861999988555901,8.0,1.0,6.0
AS14.02,day 50 to 55,0.37361743656473645,5.018,9.093,,11.015999999999998,5.2540000000000004,10.575999999999999,-2.0,-1.0,6.0,11.605999946594201,4.0,1.0,7.0
AS14.02,day 51 to 56,0.236700767263427,7.346,10.2875,7.331,7.202999999999999,6.546,7.596,-1.0,1.0,7.0,10.2900000810623,1.0,,7.5
AS14.02,day 52 to 57,0.126984126984127,4.01,10.8825,4.263999999999999,7.135,21.837,,0.5,1.0,7.5,10.4575001001358,8.0,7.0,8.0
AS14.02,day 53 to 58,0.45454545454545503,4.3505,7.859,4.678,,12.693,,0.0,1.0,8.0,10.0354999303818,16.0,1.0,6.0
AS14.02,day 54 to 59,0.0769230769230769,7.5625,,,,,,-0.5,0.0,6.0,32.4524999856949,14.0,1.0,6.5
AS14.02,day 55 to 60,0.4700854700854705,2.0069999999999997,10.993,,,,,0.0,0.0,6.5,14.3989999294281,10.0,7.0,7.0
AS14.02,day 56 to 61,0.5,,,,,,,0.0,0.0,7.0,,3.0,,6.0
AS14.02,day 57 to 62,,10.09,30.592,,,,,-1.0,0.0,6.0,93.66100001335155,1.0,,6.0
AS14.02,day 58 to 63,,,,,,,,-1.0,0.0,6.0,,9.0,3.0,5.5
AS14.02,day 59 to 64,,,,,,,,-0.5,-0.5,5.5,,8.0,,5.0
AS14.02,day 60 to 65,0.075,,,,,10.089,,-1.0,0.0,5.0,6.54000008106234,15.0,2.0,5.5
AS14.02,day 61 to 66,0.08866995073891636,,,,,,,0.0,0.5,5.5,,7.0,1.0,7.0
AS14.02,day 62 to 67,,,,,,,,-0.5,-0.5,7.0,,,,9.0
AS14.03,day 28 to 33,0.07814582143537024,5.990500000000001,7.0805,2.0725,9.133,,39.498000000000005,1.0,1.0,8.0,9.49400007724762,5.0,1.0,8.0
AS14.03,day 29 to 34,0.0040650406504065045,3.0760000000000005,3.9765,2.024,14.957,,30.232,1.0,1.0,8.0,7.16400003433228,5.0,2.0,8.0
AS14.03,day 30 to 35,0.06223328591749645,4.122,9.821,2.02,14.196,,26.508499999999998,-1.0,2.0,8.0,11.156000018119851,3.0,,7.0
AS14.03,day 31 to 36,0.0359098228663446,8.255500000000001,9.557500000000001,2.0180000000000002,9.175,,,0.0,1.0,7.0,11.909500002861,6.0,1.0,8.0
AS14.03,day 32 to 37,0.0244320230796971,2.835,7.041499999999999,2.9749999999999996,12.050999999999998,,6.42,0.0,1.0,8.0,10.12199997901915,1.0,,8.0
AS14.03,day 33 to 38,0.0,4.0095,8.675,2.4775,10.190999999999999,,,1.0,1.0,8.0,12.26949989795685,,,8.0
AS14.03,day 34 to 39,0.025,4.015,5.56,1.5059999999999998,16.158,,,-1.0,1.0,8.0,6.1879999637603795,6.0,1.0,9.0
AS14.03,day 35 to 40,0.01980792316926775,13.18,7.297999999999999,1.7035,5.631,,,-1.0,2.0,9.0,11.464999914169299,,,8.0
AS14.03,day 36 to 41,0.0493827160493827,6.13,5.439,3.2755,6.9495000000000005,,,-1.0,1.0,8.0,11.825999975204502,,1.0,8.0
AS14.03,day 37 to 42,0.014692982456140365,6.1739999999999995,7.17,2.026,6.28,,,0.0,1.0,8.0,9.97350001335143,1.0,,8.0
AS14.03,day 38 to 43,0.04843968327899395,16.6885,5.324,1.383,7.9635,,,1.0,1.0,8.0,7.619999885559079,3.0,1.0,7.0
AS14.03,day 39 to 44,0.0,4.071000000000001,4.158,3.049,7.682499999999999,,27.072499999999998,1.0,1.0,7.0,6.10700011253357,3.0,,8.0
AS14.03,day 40 to 45,0.0237967914438503,2.476,5.403,1.963,6.002000000000001,,,0.0,1.0,8.0,3.65600001811981,1.0,,8.0
AS14.03,day 41 to 46,0.0436426896603888,7.9465,5.7325,2.298,7.1465,,,0.0,1.0,8.0,10.7534998655319,1.0,3.0,8.0
AS14.03,day 42 to 47,0.0,3.016,5.5565,3.529,12.033,,,1.0,1.0,8.0,11.49199998378755,1.0,,7.0
AS14.03,day 43 to 48,0.016701680672268904,4.3515,10.428999999999998,4.234500000000001,10.374,,9.848,1.0,1.0,7.0,17.3324999809265,5.0,,7.0
AS14.03,day 44 to 49,0.01792255363683935,8.77,11.564,2.903,12.05,,,0.0,1.0,7.0,15.59299993515015,2.0,,7.0
AS14.03,day 45 to 50,0.03211284513805525,14.0945,6.03,1.5455,5.083,,,0.0,1.0,7.0,6.279000043869019,1.0,1.0,8.0
AS14.03,day 46 to 51,0.029807692307692313,5.024,5.5649999999999995,1.2710000000000001,4.5945,,,1.0,1.0,8.0,7.31350004673004,1.0,,7.0
AS14.03,day 47 to 52,0.02101738387004845,7.144,6.041,4.03,9.040500000000002,,,0.0,1.0,7.0,12.6889998912811,,1.0,8.0
AS14.03,day 48 to 53,0.0,8.386000000000001,10.054,3.2904999999999998,7.561,13.22,,0.0,1.0,8.0,12.013000011444099,,1.0,8.0
AS14.03,day 49 to 54,0.00520833333333335,4.167,4.356999999999999,4.3839999999999995,8.352,,,0.0,1.0,8.0,11.2300000190735,2.0,,7.0
AS14.03,day 50 to 55,0.0,4.195,24.386,3.0389999999999997,11.517999999999999,,,0.5,1.0,7.0,23.6949999332428,4.0,1.0,7.0
AS14.03,day 51 to 56,0.0207300275482094,7.943,5.347,4.085,9.175,,,0.0,1.0,7.0,9.292000055313109,1.0,1.0,7.0
AS14.03,day 52 to 57,0.012787356321839066,3.024,7.9110000000000005,3.045,7.5215000000000005,1.206,,0.0,1.0,7.0,8.870499968528751,4.0,,8.0
AS14.03,day 53 to 58,0.04657875980042765,4.874,10.049,3.009,10.302,,,1.0,1.0,8.0,14.2459999322891,3.0,,8.0
AS14.03,day 54 to 59,0.0555555555555556,3.085,8.616499999999998,2.112,5.912000000000001,,,0.5,1.0,8.0,11.269000053405799,2.0,2.0,7.0
AS14.03,day 55 to 60,0.017097701149425264,4.71,8.772,1.2335,6.044,,,0.0,1.0,7.0,9.466000199317936,7.0,,8.0
AS14.03,day 56 to 61,0.0273978315262719,17.802999999999997,7.432,4.157,5.1240000000000006,,8.866,0.0,1.0,8.0,21.5620000362396,6.0,1.0,8.0
